ticker,company_name,stock_market
A,Agilent Technologies Inc.,XNYS
AA,Alcoa Corporation,XNYS
AAA,Alternative Access First Priority CLO Bond ETF,ARCX
AAAA,Amplius Aggressive Asset Allocation ETF,BATS
AAAU,Goldman Sachs Physical Gold ETF Shares,BATS
AABA,Altaba Inc.,XNAS
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,XNAS
AACBR,Artius II Acquisition Inc. Rights,XNAS
AACBU,Artius II Acquisition Inc. Units,XNAS
AACG,ATA Creativity Global American Depositary Shares,XNAS
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,XASE
AADR,AdvisorShares Dorsey Wright ADR ETF,XNAS
AAL,American Airlines Group Inc.,XNAS
AALG,Leverage Shares 2X Long AAL Daily ETF,XNAS
AAM,AA Mission Acquisition Corp.,XNYS
AAME,Atlantic American Corp,XNAS
AAMI,Acadian Asset Management Inc.,XNYS
AAOI,"Applied Optoelectronics, Inc.",XNAS
AAON,Aaon Inc,XNAS
AAP,ADVANCE AUTO PARTS INC,XNYS
AAPB,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,XNAS
AAPD,Direxion Daily AAPL Bear 1X Shares,XNAS
AAPG,Ascentage Pharma Group International American Depository Shares,XNAS
AAPL,Apple Inc.,XNAS
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,BATS
AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X Shares,XNAS
AAPW,Roundhill AAPL WeeklyPay ETF,BATS
AAPX,T-Rex 2X Long Apple Daily Target ETF,BATS
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,BATS
AARD,"Aardvark Therapeutics, Inc. Common Stock",XNAS
AAT,"AMERICAN ASSETS TRUST, INC.",XNYS
AAUC,Allied Gold Corporation,XNYS
AAUM,Tema Alternative Asset Managers ETF,BATS
AAUS,Alpha Architect US Equity ETF,XNAS
AAVM,EA Series Trust Alpha Architect Global Factor Equity ETF,XNAS
AAWW,Atlas Air Worldwide Holdings,XNAS
AAXJ,iShares MSCI All Country Asia ex Japan ETF,XNAS
AAXN,"Axon Enterprise, Inc.",XNAS
AB,"AllianceBernstein Holding, L.P.",XNYS
ABAC,"Renmin Tianli Group, Inc.",XNAS
ABAT,American Battery Technology Company Common Stock,XNAS
ABBV,ABBVIE INC.,XNYS
ABCB,Ameris Bancorp,XNYS
ABCD,"Cambium Learning Group, Inc.",XNAS
ABCL,AbCellera Biologics Inc. Common Shares,XNAS
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,XNAS
ABDC,Alcentra Capital Corp.,XNAS
ABEO,Abeona Therapeutics Inc. Common Stock,XNAS
ABEOW,Abeona Therapeutics Inc.,XNAS
ABEQ,Absolute Select Value ETF,ARCX
ABEV,AMBEV S.A.,XNYS
ABFL,Abacus FCF Leaders ETF,BATS
ABG,"Asbury Automotive Group, Inc.",XNYS
ABI,VictoryShares Pioneer Asset-Based Income ETF,XNAS
ABIG,Argent Large Cap ETF,XNAS
ABIL,Ability Inc.,XNAS
ABIO,"ARCA biopharma, Inc.",XNAS
ABL,"Abacus Global Management, Inc. Class A Common Stock",XNAS
ABLD,Abacus FCF Real Assets Leaders ETF,BATS
ABLG,Abacus FCF International Leaders ETF,BATS
ABLLL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",XNAS
ABLS,Abacus FCF Small Cap Leaders ETF,BATS
ABLV,Able View Global Inc. Class B Ordinary Shares,XNAS
ABLVW,Able View Global Inc. Warrant,XNAS
ABM,"ABM Industries, Inc.",XNYS
ABMD,"ABIOMED, Inc.",XNAS
ABNB,"Airbnb, Inc. Class A Common Stock",XNAS
ABNG,Leverage Shares 2x Long ABNB Daily ETF,XNAS
ABNY,YieldMax ABNB Option Income Strategy ETF,ARCX
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",XNAS
ABOT,Abacus FCF Innovation Leaders ETF,BATS
ABP,"Abpro Holdings, Inc Common Stock",XNAS
ABPWW,"Abpro Holdings, Inc. Warrant",XNAS
ABR,"Arbor Realty Trust, Inc.",XNYS
ABRPD,"Arbor Realty Trust, Inc. 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",XNYS
ABRPE,"Arbor Realty Trust, Inc. 6.25% Series E Cumulative Redeemable Preferred Stock",XNYS
ABRPF,"Arbor Realty Trust, Inc. 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",XNYS
ABSI,Absci Corporation Common Stock,XNAS
ABT,Abbott Laboratories,XNYS
ABTC,American Bitcoin Corp. Class A Common Stock,XNAS
ABTS,Abits Group Inc Ordinary Shares,XNAS
ABTX,"Allegiance Bancshares, Inc.",XNAS
ABUS,Arbutus Biopharma Corporation Common Stock,XNAS
ABVC,"ABVC BioPharma, Inc. Common Stock",XNAS
ABVE,Above Food Ingredients Inc. Common Stock,XNAS
ABVEW,Above Food Ingredients Inc. Warrants,XNAS
ABVX,Abivax SA American Depositary Shares,XNAS
ABXB,Abacus Flexible Bond Leaders ETF,BATS
AC,"Associated Capital Group, Inc. Common Stock",XASE
ACA,"Arcosa, Inc. Common Stock",XNYS
ACAD,Acadia Pharmaceuticals Inc.,XNAS
ACB,Aurora Cannabis Inc. Common Shares,XNAS
ACBI,"Atlantic Capital Bancshares, Inc.",XNAS
ACCL,Acco Group Holdings Limited Ordinary Shares,XNAS
ACCO,Acco Brands Corporation,XNYS
ACCS,ACCESS Newswire Inc.,XASE
ACDC,ProFrac Holding Corp. Class A Common Stock,XNAS
ACEI,Innovator Equity Autocallable Income Strategy ETF,ARCX
ACEL,"Accel Entertainment, Inc.",XNYS
ACEP,ARS Core Equity Portfolio ETF,XNAS
ACER,Acer Therapeutics Inc.,XNAS
ACES,ALPS Clean Energy ETF,ARCX
ACET,"Adicet Bio, Inc. Common Stock",XNAS
ACFN,"Acorn Energy, Inc. Common Stock",XNAS
ACGL,Arch Capital Group Ltd,XNAS
ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",XNAS
ACGLO,"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F",XNAS
ACGLP,Arch Capital Group Ltd.,XNAS
ACGR,American Century Large Cap Growth ETF,ARCX
ACHC,"Acadia Healthcare Company, Inc.",XNAS
ACHN,"Achillion Pharmaceuticals, Inc.",XNAS
ACHR,Archer Aviation Inc.,XNYS
ACHV,"Achieve Life Sciences, Inc.",XNAS
ACI,"Albertsons Companies, Inc.",XNYS
ACIA,"Acacia Communications, Inc.",XNAS
ACIC,American Coastal Insurance Corporation Common Stock,XNAS
ACII,Innovator Index Autocallable Income Strategy ETF,ARCX
ACIO,Aptus Collared Investment Opportunity ETF,BATS
ACIU,AC Immune SA,XNAS
ACIW,"ACI Worldwide, Inc.",XNAS
ACKY,VistaShares Target 15 ACKtivist Distribution ETF,ARCX
ACLC,American Century Large Cap Equity ETF,ARCX
ACLO,TCW AAA CLO ETF,XNYS
ACLS,Axcelis Technologies Inc,XNAS
ACLX,"Arcellx, Inc. Common Stock",XNAS
ACM,Aecom,XNYS
ACMR,"ACM Research, Inc. Class A Common Stock",XNAS
ACN,Accenture PLC,XNYS
ACNB,ACNB Corp,XNAS
ACNT,Ascent Industries Co. Common Stock,XNAS
ACOG,Alpha Cognition Inc. Common Stock,XNAS
ACON,"Aclarion, Inc. Common Stock",XNAS
ACONW,"Aclarion, Inc. Warrant",XNAS
ACOR,"Acorda Therapeutics, Inc.",XNAS
ACP,abrdn Income Credit Strategies Fund,XNYS
ACPPA,abrdn Income Credit Strategies Fund  5.250% Series A Perpetual Preferred Stock,XNYS
ACR,ACRES Commercial Realty Corp.,XNYS
ACRE,Ares Commercial Real Estate Corporation,XNYS
ACRPC,"ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock, par value $0.001 per share",XNYS
ACRPD,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,XNYS
ACRS,"Aclaris Therapeutics, Inc.",XNAS
ACRV,"Acrivon Therapeutics, Inc. Common Stock",XNAS
ACRX,"AcelRx Pharmaceuticals, Inc.",XNAS
ACSF,"American Capital Senior Floating, Ltd.",XNAS
ACSG,American Century Small Cap Growth Insights ETF,BATS
ACSI,American Customer Satisfaction ETF,BATS
ACST,"Acasti Pharma, Inc.",XNAS
ACSV,American Century Small Cap Value Insights ETF,BATS
ACT,"Enact Holdings, Inc. Common Stock",XNAS
ACTG,Acacia Research Corporation,XNAS
ACTU,"Actuate Therapeutics, Inc. Common stock",XNAS
ACU,Acme United Corporation,XASE
ACV,Virtus Diversified Income & Convertible Fund,XNYS
ACVA,ACV Auctions Inc.,XNYS
ACVF,American Conservative Values ETF,ARCX
ACVT,Advent Convertible Bond ETF,ARCX
ACWI,iShares MSCI ACWI ETF,XNAS
ACWV,iShares MSCI Global Min Vol Factor ETF,BATS
ACWX,iShares MSCI ACWI ex US ETF,XNAS
ACXM,Acxiom Corporation,XNAS
