symbol,company_name
TUEMQ,Tuesday Morning Corp
QTNTQ,Quotient Ltd.
PCSB,Pcsb Financial Corp
HMLPF,Hoegh Lng Partners Lp
EMCF,Emclaire Financial Corp
DSHK,Drive Shack Inc
CRZWQ,Core Scientific Inc
CORZQ,Core Scientific Inc
RBCN,Rubicon Technology Inc
GIIX,Gores Holdings Viii Inc
CLAS,Class Acceleration Corp
AATC,Autoscope Technologies Corp
MNRL,Brigham Minerals Inc
ISAA,Iron Spark I Inc
OMEG,Omega Alpha Spac
FWPAY,Forward Pharma A
GIW,Giginternational1 Inc
EVKG,Ever-glory International Group Inc
OTIC,Otonomy Inc
LFG,Archaea Energy Inc
SCOA,Scion Tech Growth I
RNWK,Realnetworks Inc
HIL,Hill International Inc
HIII,Hudson Executive Investment Corp Iii
HCII,Hudson Executive Investment Corp Ii
HCIC,Hennessy Capital Investment Corp V
ABMD,Abiomed Inc
COLI,Colicity Inc
CLVSQ,Clovis Oncology Inc
ARGU,Argus Capital Corp
AGCB,Altimeter Growth Corp 2
SCPS,Scopus Biopharma Inc
BTRS,Btrs Holdings Inc
TRQ,Turquoise Hill Resources Ltd.
GTPB,Gores Technology Partners Ii Inc
GTPA,Gores Technology Partners Inc
GSEV,Gores Holdings Vii Inc
STYWQ,Starry Group Holdings Inc
STRYQ,Starry Group Holdings Inc
RZA,Reinsurance Group Of America Inc
PCPC,Periphas Capital Partnering Corp
HLAH,Hamilton Lane Alliance Holdings I Inc
AMPI,Advanced Merger Partners Inc
EPWR,Empowerment & Inclusion Capital I Corp
WBEVQ,Winc Inc
BSKY,Big Sky Growth Partners Inc
VENAF,Microalgo Inc
DHBC,Dhb Capital Corp
OEPW,One Equity Partners Open Water I Corp
LOTZ,Carlotz Inc
