date,exchange,code,name
Apr 30th 2025,NYSEMKT,CPSF,Calamos ETF Trust
Apr 30th 2025,NYSEMKT,CLBR.UN,Colombier Acquisition Corp. II
Apr 30th 2025,NYSEMKT,CHPY,Tidal Trust II
Apr 30th 2025,NYSEMKT,CHEB.WT,Chenghe Acquisition II Co. WT
Apr 30th 2025,NYSEMKT,BUFM,AB Moderate Buffer ETF
Apr 30th 2025,NYSEMKT,BUFI,AB International Buffer ETF
Apr 30th 2025,NYSEMKT,BPH,Precidian ETFs Trust
Apr 30th 2025,NYSEMKT,BOXA,Alpha Architect Aggregate Bond ETF
Apr 30th 2025,NYSEMKT,BKCG,BNY Mellon ETF Trust II
Apr 30th 2025,NYSEMKT,BGDV,ETF Series Solutions
Apr 30th 2025,NYSEMKT,BFLY.WT,BFLY-WT
Apr 30th 2025,NYSEMKT,BFAP,First Trust Exchange-Traded Fund
Apr 30th 2025,NYSEMKT,BARK.WT,BARK-WT
Apr 30th 2025,NYSEMKT,AVUQ,Avantis U.S. Quality ETF
Apr 30th 2025,NYSEMKT,AVGB,Avantis Credit ETF
Apr 30th 2025,NYSEMKT,AQLT,iShares MSCI Global Quality Factor ETF
Apr 30th 2025,NYSEMKT,AP.WT,Ampco-Pittsburgh Corporation WT
Apr 30th 2025,NYSEMKT,AMPX.WT,AMPX-WT
Apr 30th 2025,NYSEMKT,AMBI.WT,Ambipar Emergency Response WT
Apr 30th 2025,NYSEMKT,ALLW,SPDR Bridgewater All Weather ETF
Apr 30th 2025,NYSEMKT,ALIL,Argent Focused Small Cap ETF
Apr 30th 2025,NYSEMKT,AIS,Tidal Trust III
Apr 30th 2025,NYSEMKT,AHL.PF,Aspen Insurance Holdings
Apr 30th 2025,NYSEMKT,AGEM,abrdn Emerging Markets Dividend Active ETF
Apr 30th 2025,NYSEMKT,ACHR.WT,Archer Aviation Inc. WT
Aug 9th 2025,NYSEMKT,NOVM,FT Vest U.S. Equity Max Buffer ETF â November
Aug 9th 2025,NYSEMKT,NE.WTA,NE-WTA
Aug 9th 2025,NYSEMKT,MNRS,Grayscale Funds Trust
Aug 9th 2025,NYSEMKT,NCLO,NuShares ETF Trust
Aug 9th 2025,NYSEMKT,NE.WT,Noble Corporation plc WT
Aug 9th 2025,NYSEMKT,NPWR.WT,NET Power Inc. WT
Aug 9th 2025,NYSEMKT,VCRM,VCRM
Aug 9th 2025,NYSEMKT,SCDV,ETF Series Solutions
Aug 9th 2025,NYSEMKT,NUVB.WT,NUVB-WT
Aug 9th 2025,NYSEMKT,PMMR,PGIM S&P 500 Max Buffer ETF - March
Aug 9th 2025,NYSEMKT,UPSX,Tradr 2X Long UPST Daily ETF
Aug 9th 2025,NYSEMKT,UWMC.WT,UWMC-WT
Aug 9th 2025,NYSEMKT,LTTI,First Trust Exchange-Traded Fund IV
Aug 9th 2025,NYSEMKT,LVWR.WT,LVWR-WT
Aug 9th 2025,NYSEMKT,LSVD,The Advisorsâ Inner Circle Fund
Aug 9th 2025,NYSEMKT,LZM.WT,Lifezone Metals Limited WT
Aug 9th 2025,NYSEMKT,LODI,AAM SLC Low Duration Income ETF
Aug 9th 2025,NYSEMKT,LPRE,Exchange Listed Funds Trust
Aug 9th 2025,NYSEMKT,MARU,AllianzIM U.S. Equity Buffer15 Uncapped Mar ETF
Aug 9th 2025,NYSEMKT,LQTI,First Trust Exchange-Traded Fund IV
Aug 9th 2025,NYSEMKT,LGL.WT,"The LGL Group, Inc. WT"
Aug 9th 2025,NYSEMKT,LMTL,Direxion Daily LMT Bull 2X ETF
Aug 9th 2025,NYSEMKT,LENS,Sarmaya Thematic ETF
Aug 9th 2025,NYSEMKT,LMTS,Direxion Daily LMT Bear 1X ETF
Aug 9th 2025,NYSEMKT,LDRT,iShares Trust
Mar 27th 2025,NYSE,FREY.WT,FREY-WT
Mar 27th 2025,NYSE,FOWF,Pacer Solactive Whitney Future of Warfare ETF
Mar 27th 2025,NYSE,FOPC,The Advisorsâ Inner Circle Fund II
Mar 27th 2025,NYSE,FMTM,MarketDesk Focused U.S. Momentum ETF
Mar 27th 2025,NYSE,FMCE,Northern Lights Fund Trust IV
Mar 27th 2025,NYSE,FLYX.WT,"flyExclusive, Inc. WT"
Mar 27th 2025,NYSE,FLCE,The Advisorsâ Inner Circle Fund II
Mar 27th 2025,NYSE,FINT,The Advisorsâ Inner Circle Fund II
Mar 27th 2025,NYSE,FHDG,FT Vest U.S. Equity Quarterly Dynamic Buffer ETF
Mar 27th 2025,NYSE,FGSM,The Advisorsâ Inner Circle Fund II
Mar 27th 2025,NYSE,FFGX,FFGX
Mar 27th 2025,NYSE,FFEM,FFEM
Mar 27th 2025,NYSE,FFDI,FFDI
Mar 27th 2025,NYSE,FEOE,The RBB Fund Trust
Mar 27th 2025,NYSE,FEMR,Fidelity Covington Trust
Mar 27th 2025,NYSE,FEGE,The RBB Fund Trust
Mar 27th 2025,NYSE,FEBM,FT Vest U.S. Equity Max Buffer ETF - February
Mar 27th 2025,NYSE,FEAC,Fidelity Covington Trust
Mar 27th 2025,NYSE,FCBD,The Advisorsâ Inner Circle Fund II
Mar 27th 2025,NYSE,FATN,"FatPipe, Inc. Common Stock"
Mar 27th 2025,NYSE,FARX,The Advisorsâ Inner Circle Fund II
Mar 27th 2025,NYSE,FAI,First Trust Exchange-Traded Fund II
Mar 27th 2025,NYSE,EVEX.WT,EVEX-WT
Mar 27th 2025,NYSE,EUSM,Strategy Shares
Mar 27th 2025,NYSE,ETWO.WT,ETWO-WT
May 19th 2025,NYSE,IBGB,iShares iBonds Dec 2045 Term Treasury ETF
May 19th 2025,NYSE,IBGL,iShares iBonds Dec 2055 Term Treasury ETF
May 19th 2025,NYSE,HYTI,First Trust Exchange-Traded Fund IV
May 19th 2025,NYSE,IBIL,iShares Trust
May 19th 2025,NYSE,HIMZ,Defiance Daily Target 2X Long HIMS ETF
May 19th 2025,NYSE,HLLY.WT,HLLY-WT
May 19th 2025,NYSE,IBTQ,iShares iBonds Dec 2035 Term Treasury ETF
May 19th 2025,NYSE,HWSM,Hotchkis & Wiley SMID Cap Diversified Value Fund
May 19th 2025,NYSE,GLCR,GlacierShares Nasdaq Iceland ETF
May 19th 2025,NYSE,GSKH,Precidian ETFs Trust
May 19th 2025,NYSE,GFLW,VictoryShares Free Cash Flow Growth ETF
May 19th 2025,NYSE,HEQQ,JPMorgan Nasdaq Hedged Equity Laddered Overlay ETF
May 19th 2025,NYSE,GEND,Spinnaker ETF Series
May 19th 2025,NYSE,HFGM,Tidal ETF Trust
May 19th 2025,NYSE,IONQ.WT,IONQ-WT
May 19th 2025,NYSE,GENW,Spinnaker ETF Series
May 19th 2025,NYSE,FTKI,First Trust Exchange-Traded Fund VI
May 19th 2025,NASDAQ,FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock
May 19th 2025,NYSE,GB.WT,GB-WT
May 19th 2025,NYSE,FMUB,Fidelity Municipal Bond Opportunities ETF
May 19th 2025,NYSE,FMUN,Fidelity Systematic Municipal Bond Index ETF
May 19th 2025,NYSE,GCTS.WT,"GCT Semiconductor Holding, Inc. WT"
Apr 30th 2025,NYSEMKT,EQV.WT,EQV Ventures Acquisition Corp. WT
Apr 30th 2025,NYSEMKT,ENDW,Cambria Endowment Style ETF
Apr 30th 2025,NYSEMKT,ACVT,The RBB Fund Trust
Apr 30th 2025,NYSEMKT,EMPB,EA Series Trust
Apr 30th 2025,NYSEMKT,EGGY,Tidal Trust III
Apr 30th 2025,NYSEMKT,EGGS,Tidal Trust III
Apr 30th 2025,NYSEMKT,EFFI,Harbor ETF Trust
Apr 30th 2025,NYSEMKT,EDGE,MRBL Enhanced Equity ETF
Apr 30th 2025,NYSEMKT,EBI,Longview Advantage ETF
Apr 30th 2025,NYSEMKT,DMAX,iShares Large Cap Max Buffer Dec ETF
Apr 30th 2025,NYSEMKT,DHSB,Strategy Shares
Apr 30th 2025,NYSEMKT,DFII,First Trust Exchange-Traded Fund
Apr 30th 2025,NYSEMKT,DEXC,Dimensional ETF Trust
Apr 30th 2025,NYSEMKT,DECM,FT Vest U.S. Equity Max Buffer ETF - December
Apr 30th 2025,NYSEMKT,DABS,DoubleLine ETF Trust
Apr 30th 2025,NYSEMKT,DAAQU,Digital Asset Acquisition Corp. Units
Apr 30th 2025,NYSEMKT,CXRN,Listed Funds Trust
Apr 30th 2025,NYSEMKT,CVE.WT,CVE-WT
Nov 7th 2025,NASDAQ,PMFB,PGIM S&P 500 Max Buffer ETF - February
Nov 7th 2025,NASDAQ,MEME,Roundhill ETF Trust
Nov 7th 2025,NASDAQ,MILK,Pacer US Cash Cows Bond ETF
Nov 7th 2025,NASDAQ,MNFYY,Money Forward
Nov 7th 2025,NASDAQ,MCOW,Pacer S&P MidCap 400 Quality FCF Aristocrats ETF
Nov 7th 2025,NASDAQ,MTYY,GraniteShares YieldBOOST MSTR ETF
Nov 7th 2025,NASDAQ,LSBCF,LakeShore Biopharma
Nov 7th 2025,NASDAQ,MAAY,Graniteshares ETF Trust - Graniteshares Yieldboost MARA ETF
Nov 7th 2025,NASDAQ,RSHGY,Resona Holdings
Nov 7th 2025,NASDAQ,JEDI,ETF Series Solutions
Nov 7th 2025,NASDAQ,LABX,Tradr 2X Long ALAB Daily ETF
Nov 7th 2025,NASDAQ,NEWTP,"NewtekOne, Inc. Depositary Shares, Non-Cumulative Perpetual Preferred Stock, Series B"
Nov 7th 2025,NASDAQ,LOTMY,Lottomatica Group SpA
Nov 7th 2025,NASDAQ,GKAT,Scharf Global Opportunity ETF
Nov 7th 2025,NASDAQ,GSX,Tradr 2X Long GS Daily ETF
Nov 7th 2025,NASDAQ,HMKIY,Huhtamaki Oyj
Nov 7th 2025,NASDAQ,GALDY,GALDERMA GROUP AG
Nov 7th 2025,NASDAQ,FJIKY,Fujikura
Nov 7th 2025,NASDAQ,HUMN,Roundhill ETF Trust - Roundhill Humanoid Robotics ETF
Jul 7th 2025,NYSEMKT,TRIO,MC Trio Equity Buffered ETF
Jul 7th 2025,NYSEMKT,TSPX,Twin Oak Active Opportunities ETF
Jul 7th 2025,NYSEMKT,TMED,T. Rowe Price Health Care ETF
Jul 7th 2025,NYSEMKT,UX,Roundhill Uranium ETF
Jul 7th 2025,NYSEMKT,WXET,Listed Funds Trust
Jul 7th 2025,NYSEMKT,TCAL,T. Rowe Price Exchange-Traded Funds
Jul 7th 2025,NYSEMKT,TCPB,Thrivent ETF Trust
Jul 7th 2025,NYSEMKT,SQMX,FT Vest U.S. Equity Quarterly Max Buffer ETF
Jul 7th 2025,NYSEMKT,TDEC,FT Vest Emerging Markets Buffer ETF - December
Jul 7th 2025,NYSEMKT,SLND.WT,SLND-WT
