period,signal_id,ticker,date_str,signal_hora,hora,bars_after,open,high,low,close,candle_size_pct
IN-SAMPLE / tier_1  [2021-04-12 → 2022-04-07],SYTAW_2021-10-20_06:20,SYTAW,2021-10-20,06:20,08:30,25,2.87,7.54,2.87,4.07,162.72
IN-SAMPLE / tier_1  [2021-04-12 → 2022-04-07],GROMW_2021-10-22_09:40,GROMW,2021-10-22,09:40,09:50,2,1.7,3.49,1.66,2.22,110.24
IN-SAMPLE / tier_2  [2021-10-08 → 2022-10-07],SYTAW_2021-10-20_06:20,SYTAW,2021-10-20,06:20,08:30,25,2.87,7.54,2.87,4.07,162.72
IN-SAMPLE / tier_2  [2021-10-08 → 2022-10-07],GROMW_2021-10-22_09:40,GROMW,2021-10-22,09:40,09:50,2,1.7,3.49,1.66,2.22,110.24
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],APVO_2022-12-12_06:15,APVO,2022-12-12,06:15,08:00,21,6.69,7.19,3.51,6.85,104.84
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],APVO_2022-12-12_07:55,APVO,2022-12-12,07:55,08:00,1,6.69,7.19,3.51,6.85,104.84
OUT-OF-SAMPLE / tier_2  [2022-10-10 → 2023-04-06],APVO_2022-12-12_06:15,APVO,2022-12-12,06:15,08:00,21,6.69,7.19,3.51,6.85,104.84
OUT-OF-SAMPLE / tier_2  [2022-10-10 → 2023-04-06],APVO_2022-12-12_07:55,APVO,2022-12-12,07:55,08:00,1,6.69,7.19,3.51,6.85,104.84
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],MEGL_2023-04-28_04:25,MEGL,2023-04-28,04:25,08:10,45,5.02,5.94,2.79,5.3499,112.9
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],MEGL_2023-04-28_07:15,MEGL,2023-04-28,07:15,08:10,11,5.02,5.94,2.79,5.3499,112.9
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],BTCT_2023-09-29_06:40,BTCT,2023-09-29,06:40,08:10,18,4.0,7.75,2.9997,5.4,158.36
