period,ticker,date_str,hora,open,high,low,close,candle_size_pct
FULL  [2024-01-02 → 2026-06-12],VMAR,2024-01-08,04:45,1.99,2.7,1.22,1.4,121.31
FULL  [2024-01-02 → 2026-06-12],ONCO,2024-01-25,08:10,0.3707,0.469,0.2001,0.29,134.38
FULL  [2024-01-02 → 2026-06-12],BYU,2024-02-14,06:20,2.39,2.45,1.2,1.31,104.17
FULL  [2024-01-02 → 2026-06-12],LGHL,2024-02-14,05:50,1.45,2.0,0.919,0.9606,117.63
FULL  [2024-01-02 → 2026-06-12],ZCAR,2024-02-15,04:55,2.69,2.75,1.36,1.42,102.21
FULL  [2024-01-02 → 2026-06-12],XTKG,2024-02-22,04:10,2.45,2.45,1.19,1.26,105.88
FULL  [2024-01-02 → 2026-06-12],KACLR,2024-03-07,14:20,1.69,1.69,0.14,0.14,1107.14
FULL  [2024-01-02 → 2026-06-12],RVSNW,2024-03-11,09:30,0.42,0.42,0.21,0.22,100.0
FULL  [2024-01-02 → 2026-06-12],VSSYW,2024-06-11,04:40,0.23,0.25,0.12,0.1322,108.33
FULL  [2024-01-02 → 2026-06-12],BLDEW,2024-07-10,09:30,0.39,0.39,0.18,0.18,116.67
FULL  [2024-01-02 → 2026-06-12],SGN,2024-09-19,08:30,0.584,0.5997,0.173,0.5064,246.65
FULL  [2024-01-02 → 2026-06-12],CWD,2024-09-30,04:05,0.89,0.9785,0.4093,0.616,139.07
FULL  [2024-01-02 → 2026-06-12],PRLH,2024-12-13,04:15,42.98,42.98,18.25,19.11,135.51
FULL  [2024-01-02 → 2026-06-12],GTBP,2024-12-23,08:10,4.7184,5.52,2.565,2.565,115.2
FULL  [2024-01-02 → 2026-06-12],TIRX,2024-12-24,05:40,2.67,2.67,1.24,1.58,115.32
FULL  [2024-01-02 → 2026-06-12],RAY,2024-12-27,06:15,3.39,3.45,1.7,1.9,102.94
FULL  [2024-01-02 → 2026-06-12],AEI,2024-12-31,04:25,1.91,2.0,0.97,1.01,106.19
FULL  [2024-01-02 → 2026-06-12],MIMI,2025-01-23,07:35,5.28,7.62,3.71,4.14,105.39
FULL  [2024-01-02 → 2026-06-12],REVB,2025-04-09,06:45,5.63,5.79,2.82,3.18,105.32
FULL  [2024-01-02 → 2026-06-12],VEEE,2025-05-08,08:05,2.8,5.52,2.11,2.58,161.61
FULL  [2024-01-02 → 2026-06-12],RDHL,2025-05-13,08:10,2.4,3.69,1.81,1.95,103.87
FULL  [2024-01-02 → 2026-06-12],INM,2025-06-02,08:00,7.6,9.35,3.62,6.5499,158.29
FULL  [2024-01-02 → 2026-06-12],RGC,2025-06-16,04:55,70.16,70.16,34.0,37.5,106.35
FULL  [2024-01-02 → 2026-06-12],BPT,2025-06-17,06:05,1.33,1.51,0.634,0.6745,138.17
FULL  [2024-01-02 → 2026-06-12],BTCM,2025-07-10,08:30,8.15,8.17,2.7,7.42,202.59
FULL  [2024-01-02 → 2026-06-12],GNLN,2025-07-14,08:50,5.9322,5.9679,2.88,3.27,107.22
FULL  [2024-01-02 → 2026-06-12],HTOO,2025-07-15,06:55,5.3,8.88,3.96,4.15,124.24
FULL  [2024-01-02 → 2026-06-12],CLIK,2025-09-10,06:25,0.4947,0.75,0.3306,0.359,126.86
FULL  [2024-01-02 → 2026-06-12],DXST,2025-09-10,06:05,1.64,2.14,1.05,1.05,103.81
FULL  [2024-01-02 → 2026-06-12],AMST,2025-09-11,08:00,5.62,6.14,3.01,4.4501,103.99
FULL  [2024-01-02 → 2026-06-12],CHNR,2025-09-11,04:55,6.69,9.4,3.61,3.75,160.39
FULL  [2024-01-02 → 2026-06-12],HSDT,2025-09-15,08:05,26.44,48.83,12.0,12.72,306.92
FULL  [2024-01-02 → 2026-06-12],MPV,2025-10-17,06:55,42.7,49.3,23.94,24.0,105.93
FULL  [2024-01-02 → 2026-06-12],SMX,2025-12-05,08:10,290.0,402.56,181.2489,194.4739,122.1
FULL  [2024-01-02 → 2026-06-12],TMDE,2026-03-02,08:00,3.3,4.25,2.0494,2.2499,107.38
FULL  [2024-01-02 → 2026-06-12],TMDE,2026-03-02,08:10,3.21,4.72,1.17,1.78,303.42
FULL  [2024-01-02 → 2026-06-12],TPET,2026-03-02,08:10,0.9992,1.05,0.51,0.5373,105.88
FULL  [2024-01-02 → 2026-06-12],CANF,2026-03-04,08:15,11.0,13.7,5.28,6.57,159.47
FULL  [2024-01-02 → 2026-06-12],ATPC,2026-03-30,04:10,4.73,5.27,2.51,2.78,109.96
FULL  [2024-01-02 → 2026-06-12],TRUG,2026-04-01,05:35,6.99,7.75,3.65,4.0,112.33
FULL  [2024-01-02 → 2026-06-12],GRMLW,2026-04-10,09:40,0.3247,0.3247,0.1551,0.1551,109.35
FULL  [2024-01-02 → 2026-06-12],NTCL,2026-05-11,06:55,0.5841,0.6334,0.2872,0.3137,120.54
FULL  [2024-01-02 → 2026-06-12],SAGT,2026-05-19,05:45,0.9765,1.28,0.612,0.7,109.15
FULL  [2024-01-02 → 2026-06-12],DKI,2026-05-21,06:40,7.9,9.86,4.24,4.86,132.55
FULL  [2024-01-02 → 2026-06-12],WYHG,2026-06-03,04:40,5.9578,6.4697,3.2335,3.67,100.08
FULL  [2024-01-02 → 2026-06-12],BVC,2026-06-08,07:15,13.86,20.0,8.5,9.26,135.29
FULL  [2024-01-02 → 2026-06-12],CHOW,2026-06-09,08:35,0.4,0.6467,0.2685,0.2716,140.86
FULL  [2024-01-02 → 2026-06-12],CPOP,2026-06-09,08:55,0.3468,0.6,0.2812,0.2813,113.37
FULL  [2024-01-02 → 2026-06-12],HAO,2026-06-09,08:40,1.47,1.92,0.817,0.85,135.0
FULL  [2024-01-02 → 2026-06-12],MPU,2026-06-09,08:35,0.6369,0.6371,0.2264,0.2556,181.4
FULL  [2024-01-02 → 2026-06-12],RPGL,2026-06-09,08:30,3.19,6.47,2.26,2.5,186.28
FULL  [2024-01-02 → 2026-06-12],CCHH,2026-06-10,07:30,0.4794,0.58,0.2802,0.2913,107.0
