period,ticker,date_str,hora,open,high,low,close,candle_size_pct
IN-SAMPLE / tier_1  [2021-04-12 → 2022-04-07],EOSEW,2022-03-04,05:50,3.7,3.7,1.83,1.91,102.19
IN-SAMPLE / tier_2  [2021-10-08 → 2022-10-07],EOSEW,2022-03-04,05:50,3.7,3.7,1.83,1.91,102.19
IN-SAMPLE / tier_2  [2021-10-08 → 2022-10-07],IO,2022-04-20,08:35,0.759,0.7689,0.381,0.7366,101.81
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],IO,2022-04-20,08:35,0.759,0.7689,0.381,0.7366,101.81
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],IVCPW,2022-12-28,09:40,0.3596,0.3596,0.1646,0.1945,118.47
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],OBLG,2023-01-04,04:10,5.4,5.4,2.6,2.98,107.69
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],MMVWW,2023-01-06,12:45,0.3651,0.4,0.1749,0.24,128.7
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],EMLDW,2023-03-22,13:25,0.1874,0.1874,0.0901,0.0901,107.99
OUT-OF-SAMPLE / tier_1  [2022-04-08 → 2022-10-07],IO,2022-04-20,08:35,0.759,0.7689,0.381,0.7366,101.81
OUT-OF-SAMPLE / tier_2  [2022-10-10 → 2023-04-06],IVCPW,2022-12-28,09:40,0.3596,0.3596,0.1646,0.1945,118.47
OUT-OF-SAMPLE / tier_2  [2022-10-10 → 2023-04-06],OBLG,2023-01-04,04:10,5.4,5.4,2.6,2.98,107.69
OUT-OF-SAMPLE / tier_2  [2022-10-10 → 2023-04-06],MMVWW,2023-01-06,12:45,0.3651,0.4,0.1749,0.24,128.7
OUT-OF-SAMPLE / tier_2  [2022-10-10 → 2023-04-06],EMLDW,2023-03-22,13:25,0.1874,0.1874,0.0901,0.0901,107.99
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],LCFYW,2023-04-28,10:25,4.45,4.91,1.51,1.51,225.17
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],BIAFW,2023-06-23,12:15,0.55,0.55,0.24,0.24,129.17
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],EDTX,2023-07-14,08:10,75.0,75.63,37.8,37.8,100.08
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],BLACR,2023-07-24,09:40,0.47,0.47,0.21,0.21,123.81
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],BNOX,2023-09-28,08:10,7.36,7.84,1.86,5.67,321.51
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],BTCT,2023-09-29,06:40,9.99,10.0,4.2,4.2,138.1
